shot_num,hole_id,hole_distance_yds,wager,miss_distance_ft,multiplier,payout,net_gain_loss,cumulative_net,is_fat_tail
1,4,150,7.82,31.15,0.03,0.22,-7.59,-7.59,false
2,4,150,6.64,39.00,0.00,0.00,-6.64,-14.23,false
3,4,150,11.71,17.67,1.04,12.21,0.49,-13.74,false
4,4,150,11.44,20.08,0.63,7.20,-4.24,-17.98,false
5,4,150,5.64,32.39,0.02,0.10,-5.54,-23.52,false
6,4,150,6.78,8.98,3.18,21.56,14.77,-8.75,false
7,4,150,7.92,38.65,0.00,0.00,-7.92,-16.67,false
8,4,150,9.26,17.84,0.66,6.15,-3.11,-19.77,false
9,4,150,13.49,39.00,0.00,0.01,-13.49,-33.26,false
10,4,150,11.88,20.89,0.35,4.12,-7.76,-41.02,false
11,4,150,5.81,47.48,0.00,0.00,-5.81,-46.83,false
12,4,150,13.52,8.73,3.30,44.66,31.14,-15.69,false
13,4,150,6.25,33.09,0.01,0.06,-6.20,-21.89,false
14,4,150,12.70,22.81,0.22,2.81,-9.88,-31.77,false
15,4,150,13.15,46.67,0.00,0.00,-13.15,-44.92,false
16,4,150,8.58,10.13,2.73,23.44,14.85,-30.07,false
17,4,150,8.11,25.76,0.11,0.87,-7.25,-37.32,false
18,4,150,9.48,12.07,1.98,18.79,9.31,-28.01,false
19,4,150,5.15,29.39,0.04,0.18,-4.97,-32.97,false
20,4,150,12.94,36.66,0.00,0.02,-12.92,-45.90,false
21,4,150,7.58,32.99,0.01,0.07,-7.51,-53.40,false
22,4,150,14.24,4.03,6.35,90.47,76.23,22.83,false
23,4,150,12.06,17.59,0.68,8.17,-3.88,18.94,false
24,4,150,10.82,31.12,0.02,0.20,-10.62,8.33,false
25,4,150,5.26,2.04,8.31,43.69,38.43,46.76,false
26,4,150,8.41,55.75,0.00,0.00,-8.41,38.34,false
27,4,150,14.25,14.93,1.04,14.82,0.57,38.91,false
28,4,150,6.98,7.95,3.32,23.18,16.21,55.11,false
29,4,150,7.34,31.16,0.02,0.12,-7.21,47.90,false
30,4,150,10.09,7.10,3.78,38.08,27.99,75.89,false
31,4,150,5.34,9.01,2.79,14.90,9.56,85.45,false
32,4,150,13.62,3.40,6.30,85.73,72.11,157.57,false
33,4,150,5.24,20.78,0.31,1.64,-3.60,153.97,false
34,4,150,6.36,4.36,5.52,35.09,28.74,182.71,false
35,4,150,11.59,43.70,0.00,0.00,-11.59,171.12,false
36,4,150,7.91,45.80,0.00,0.00,-7.91,163.21,false
37,4,150,10.45,45.11,0.00,0.00,-10.45,152.76,false
38,4,150,11.81,19.32,0.41,4.87,-6.94,145.81,false
39,4,150,14.53,30.10,0.02,0.34,-14.20,131.62,false
40,4,150,8.58,18.03,0.54,4.61,-3.97,127.65,false
41,4,150,9.26,5.89,4.53,41.93,32.67,160.32,false
42,4,150,9.40,30.00,0.03,0.24,-9.16,151.16,false
43,4,150,11.50,22.97,0.19,2.21,-9.29,141.86,false
44,4,150,7.05,9.95,2.45,17.28,10.23,152.09,false
45,4,150,10.54,72.65,0.00,0.00,-10.54,141.55,false
46,4,150,6.81,64.52,0.00,0.00,-6.81,134.74,true
47,4,150,6.03,21.78,0.26,1.55,-4.48,130.26,false
48,4,150,7.66,32.69,0.01,0.07,-7.59,122.68,false
49,4,150,5.90,37.05,0.00,0.01,-5.90,116.78,false
50,4,150,7.94,47.46,0.00,0.00,-7.94,108.84,false
51,4,150,14.78,5.61,5.25,77.62,62.84,171.68,false
52,4,150,5.54,54.92,0.00,0.00,-5.54,166.14,false
53,4,150,8.10,35.93,0.00,0.02,-8.08,158.06,false
54,4,150,11.32,32.21,0.01,0.14,-11.18,146.88,false
55,4,150,11.14,29.57,0.03,0.37,-10.78,136.10,false
56,4,150,6.95,16.14,0.93,6.46,-0.49,135.62,false
57,4,150,8.95,31.07,0.02,0.17,-8.77,126.84,false
58,4,150,14.78,24.31,0.15,2.26,-12.52,114.32,false
59,4,150,8.08,32.18,0.01,0.10,-7.98,106.35,false
60,4,150,10.71,51.90,0.00,0.00,-10.71,95.64,false
61,4,150,7.66,145.30,0.00,0.00,-7.66,87.98,true
62,4,150,13.51,1.94,9.04,122.12,108.61,196.59,false
63,4,150,6.99,42.05,0.00,0.00,-6.99,189.60,false
64,4,150,9.97,31.84,0.02,0.15,-9.81,179.79,false
65,4,150,13.62,15.33,1.13,15.32,1.71,181.49,false
66,4,150,11.33,18.84,0.57,6.41,-4.92,176.57,false
